igralec,ekipa,passing_yards,passing_td,passing_att,passing_cmp,passing_int,sacks,rushing_yards,rushing_td,rushing_att,fumbles,receiving_yards,receiving_td,receptions,targets,def_interceptions,def_sacks,pozicija,starost,tekme
John Bullock,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,24,15
John FitzPatrick,GNB,0,0,0,0,0,0,0,0,0,0,72,1,12,15,0,0,TE,25,15
John Franklin-Myers,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,29,16
John Jenkins,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,36,17
John Metchie,2TM,0,0,0,0,0,0,-5,0,3,0,274,2,33,48,0,0,WR,25,16
John Metchie,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,25,7
John Ridgeway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,26,4
Johnathan Baldwin,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,22,1
Johnathan Edwards,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,24,14
Johnny Hekker,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,35,17
Johnny Mundt,JAX,0,0,0,0,0,0,0,0,0,0,111,0,9,19,0,0,TE,31,16
Jon Rhattigan,LVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,26,12
Jon Runyan Jr.,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,28,16
Jon Weeks,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,39,17
Jonah Elliss,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,22,13
Jonah Laulu,LVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,25,17
Jonah Williams,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,30,15
Jonas Sanker,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,S,23,17
Jonathan Allen,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,30,17
Jonathan Bullard,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,32,15
Jonathan Ford,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,26,9
Jonathan Greenard,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,28,12
Jonathan Jones,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,32,12
Jonathan Mingo,DAL,0,0,0,0,0,0,0,0,0,0,25,0,1,5,0,0,WR,24,6
Jonathan Owens,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,30,17
Jonathan Taylor,IND,0,0,0,0,0,0,1585,18,323,2,378,2,46,55,0,0,RB,26,17
Jonathon Cooper,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,27,17
Jonnu Smith,PIT,0,0,0,0,0,0,70,1,9,1,222,2,38,54,0,0,TE,30,17
Jordan Addison,MIN,0,0,0,0,0,0,81,1,2,0,610,3,42,79,0,0,WR,23,14
Jordan Battle,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,S,25,17
Jordan Burch,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,24,17
Jordan Clark,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,24,6
Jordan Colbert,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,25,5
Jordan Davis,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,25,17
Jordan Elliott,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,28,16
Jordan Fuller,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,27,6
Jordan Hancock,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,22,13
